ID,Time,Temperature,Precipitation,WindVelocity,WindDirection
90,2019-09-20 21:00,18.3,,0.7,290
90,2019-09-20 22:00,18.5,,0.7,230
90,2019-09-20 23:00,17.9,,0.6,270
90,2019-09-21 0:00,17.8,,1.2,230
90,2019-09-21 1:00,17.1,,0.4,0
90,2019-09-21 2:00,17.2,,1.4,270
90,2019-09-21 3:00,17.4,,0.6,250
90,2019-09-21 4:00,17.4,,1.1,270
90,2019-09-21 5:00,17.1,,1.4,290
90,2019-09-21 6:00,17.3,,1.3,290
90,2019-09-21 7:00,17.1,,1.4,270
90,2019-09-21 8:00,18,,1.5,290
90,2019-09-21 9:00,19.2,,0.5,270
90,2019-09-21 10:00,19.8,,0.8,290
90,2019-09-21 11:00,20.7,,1.5,360
90,2019-09-21 12:00,21.8,,1.1,360
90,2019-09-21 13:00,21.1,,1.4,20
90,2019-09-21 14:00,21.2,,2,360
90,2019-09-21 15:00,20.8,,2.3,360
90,2019-09-21 16:00,20.5,,1.3,320
90,2019-09-21 17:00,20.1,,0.9,200
90,2019-09-21 18:00,19.9,,1.5,160
90,2019-09-21 19:00,19.5,,2.7,160
90,2019-09-21 20:00,19.1,,3.6,160
90,2019-09-21 21:00,18.5,,3.9,160
90,2019-09-21 22:00,18,,3.4,160
90,2019-09-21 23:00,17.7,,2.2,160
90,2019-09-22 0:00,17.2,,1.9,180
93,2019-09-16 1:00,17.8,,0.8,290
93,2019-09-16 2:00,17.8,,0.9,230
93,2019-09-16 3:00,17.8,,0.2,0
93,2019-09-16 4:00,17.8,,0.4,0
93,2019-09-16 5:00,17.7,,0.4,0
93,2019-09-16 6:00,17.7,,0.4,0
93,2019-09-16 7:00,17.4,,0.4,0
93,2019-09-16 8:00,18.6,,1,250
93,2019-09-16 9:00,20.9,,0.4,0
93,2019-09-16 10:00,21.7,,0.7,230
93,2019-09-16 11:00,23.8,,1.9,180
93,2019-09-16 12:00,25.9,,1.4,180
93,2019-09-16 13:00,26.8,,0.8,340
93,2019-09-16 14:00,27.8,,1.2,20
93,2019-09-16 15:00,28.3,,2,20
93,2019-09-16 16:00,29,,2,20
93,2019-09-16 17:00,28.1,,1.6,20
93,2019-09-16 18:00,24.7,,1.6,50
93,2019-09-16 19:00,21.4,,1.9,70
93,2019-09-16 20:00,19.1,,0.8,250
93,2019-09-16 21:00,17.7,,0.8,20
93,2019-09-16 22:00,16.6,,0.7,20
93,2019-09-16 23:00,15.3,,0.7,320
93,2019-09-17 0:00,14.6,,0.5,340
93,2019-09-17 1:00,14.2,,0.4,0
93,2019-09-17 2:00,13.4,,0.3,0
93,2019-09-17 3:00,13.6,,0.7,320
93,2019-09-17 4:00,13,,0.5,340
93,2019-09-17 5:00,12.2,,0.2,0
93,2019-09-17 6:00,11.6,,0.6,20
93,2019-09-17 7:00,12.4,,0.2,0
93,2019-09-17 8:00,15.2,,0.3,0
93,2019-09-17 9:00,18.2,,0.8,160
93,2019-09-17 10:00,21.3,,0.9,230
93,2019-09-17 11:00,23,,1.1,290
93,2019-09-17 12:00,24.8,,1.3,270
93,2019-09-17 13:00,25.2,,1.8,270
93,2019-09-17 14:00,26.6,,1.2,290
93,2019-09-17 15:00,26.7,,2,230
93,2019-09-17 16:00,27,,1.5,230
93,2019-09-17 17:00,26.2,,1.4,250
93,2019-09-17 18:00,23.9,,1.1,20
93,2019-09-17 19:00,21.5,,1,110
93,2019-09-17 20:00,20.8,,0.2,0
93,2019-09-17 21:00,19.7,,0.6,160
93,2019-09-17 22:00,19.4,,0.1,0
93,2019-09-17 23:00,18.8,,0.6,340
93,2019-09-18 0:00,18.1,,0.8,180
93,2019-09-18 1:00,18,,0.5,20
93,2019-09-18 2:00,17.9,,0.7,20
93,2019-09-18 3:00,17,,1.1,70
93,2019-09-18 4:00,16.9,,0.4,0
